,Aracaju,Belém,Belo Horizonte,Boa Vista,Brasília,Campo Grande,Cuiabá,Curitiba,Florianópolis,Fortaleza,Goiânia,João Pessoa,Macapá,Maceió,Manaus,Natal,Palmas,Porto Alegre,Porto Velho,Recife,Rio Branco,R. Janeiro,Salvador,São Luis,São Paulo,Teresina,Vitória
Aracaju,0.00,1641.00,1248.00,3022.00,1292.00,2155.00,2121.00,2061.00,2207.00,815.00,1461.00,486.00,1967.00,201.00,2673.00,604.00,1235.00,2580.00,2946.00,398.00,3359.00,1482.00,277.00,1226.00,1731.00,903.00,1102.00
Belém,,0.00,2111.00,1432.00,1592.00,2212.00,1778.00,2665.00,2904.00,1133.00,1693.00,1636.00,329.00,1680.00,1292.00,1550.00,973.00,3188.00,1886.00,1676.00,2333.00,2450.00,1687.00,481.00,2463.00,750.00,2275.00
Belo Horizonte,,,0.00,3117.00,624.00,1118.00,1372.00,820.00,973.00,1893.00,666.00,1726.00,2349.00,1439.00,2556.00,1831.00,1178.00,1341.00,2477.00,1639.00,2786.00,339.00,964.00,1932.00,489.00,1652.00,378.00
Boa Vista,,,,0.00,2496.00,2667.00,2107.00,3370.00,3620.00,2562.00,2503.00,3067.00,1110.00,3089.00,661.00,2983.00,1988.00,3785.00,1335.00,3103.00,1626.00,3428.00,3009.00,1913.00,3300.00,2169.00,3394.00
Brasília,,,716.00,,0.00,878.00,873.00,1081.00,1314.00,1687.00,173.00,1716.00,1791.00,1485.00,1932.00,1775.00,620.00,1619.00,1900.00,1657.00,2246.00,933.00,1060.00,1524.00,873.00,1313.00,947.00
Campo Grande,,,1453.00,,,0.00,559.00,780.00,1007.00,2547.00,705.00,2593.00,2309.00,2352.00,2013.00,2654.00,1320.00,1119.00,1634.00,2530.00,1827.00,1212.00,1905.00,2284.00,894.00,2132.00,1490.00
Cuiabá,,2941.00,,,,694.00,0.00,1302.00,1543.00,2329.00,740.00,2495.00,1822.00,2302.00,1453.00,2524.00,1029.00,1679.00,1137.00,2452.00,1414.00,1575.00,1915.00,1942.00,1326.00,1862.00,1745.00
Curitiba,,,,,,991.00,,0.00,251.00,2670.00,972.00,2545.00,2836.00,2259.00,2734.00,2645.00,1693.00,546.00,2412.00,2459.00,2601.00,675.00,1784.00,2599.00,338.00,2362.00,1076.00
Florianópolis,,,,,,,,300.00,0.00,2857.00,1215.00,2693.00,3082.00,2402.00,2981.00,2802.00,1931.00,376.00,2641.00,2603.00,2809.00,748.00,1930.00,2821.00,489.00,2573.00,1160.00
Fortaleza,,,,,,,,,,0.00,1854.00,555.00,1451.00,730.00,2383.00,435.00,1300.00,3213.00,2855.00,629.00,3300.00,2190.00,1028.00,652.00,2368.00,495.00,1855.00
Goiânia,,,906.00,,209.00,935.00,934.00,,,,0.00,1889.00,1868.00,1656.00,1912.00,1948.00,724.00,1497.00,1813.00,1829.00,2138.00,936.00,1225.00,1662.00,810.00,1467.00,1022.00
João Pessoa,,,,,,,,,,688.00,,0.00,1964.00,299.00,2819.00,151.00,1521.00,3066.00,3200.00,104.00,3632.00,1968.00,763.00,1162.00,2216.00,905.00,1581.00
Macapá,,,,,,,,,,,,,0.00,2009.00,1054.00,1874.00,1177.00,3341.00,1724.00,2005.00,2159.00,2687.00,2000.00,803.00,2664.00,1079.00,2545.00
Maceió,294.00,,,,,,,,,,,,,0.00,2778.00,434.00,1383.00,2775.00,3090.00,202.00,3510.00,1671.00,475.00,1234.00,1928.00,929.00,1282.00
Manaus,,5298.00,,785.00,,,2357.00,,,,,,,,0.00,2765.00,1509.00,3132.00,761.00,2833.00,1149.00,2849.00,2605.00,1746.00,2689.00,1921.00,2865.00
Natal,,,,,,,,,,537.00,,185.00,,,,0.00,1527.00,3172.00,3179.00,253.00,3616.00,2085.00,875.00,1071.00,2320.00,843.00,1706.00
Palmas,,1283.00,,,,,1784.00,,,,874.00,,,,,,0.00,2222.00,1711.00,1498.00,2127.00,1512.00,1114.00,964.00,1493.00,835.00,1413.00
Porto Alegre,,,,,,,,,476.00,,,,,,,,,0.00,2706.00,2977.00,2814.00,1123.00,2303.00,3142.00,852.00,2909.00,1536.00
Porto Velho,,,,,,,1456.00,,,,,,,,901.00,,,,0.00,3190.00,449.00,2707.00,2808.00,2274.00,2463.00,2362.00,2835.00
Recife,,,,,,,,,,800.00,,120.00,,285.00,,,,,,0.00,3618.00,1874.00,675.00,1209.00,2128.00,934.00,1483.00
Rio Branco,,,,,,,,,,,,,,,1445.00,,,,544.00,,0.00,2982.00,3206.00,2726.00,2704.00,2806.00,3156.00
R. Janeiro,,,434.00,,,,,,,,,,,,,,,,,,,0.00,1209.00,2266.00,357.00,1979.00,412.00
Salvador,356.00,,1372.00,,,,,,,,1643.00,,,632.00,,,1454.00,,,839.00,,,0.00,1323.00,1453.00,994.00,839.00
São Luis,,806.00,,,,,,,,1070.00,,,,,,,1386.00,,,,,,,0.00,2348.00,329.00,2023.00
São Paulo,,,586.00,,,1014.00,,408.00,,,,,,,,,,,,,,429.00,,,0.00,2091.00,741.00
Teresina,,,,,,,,,,634.00,,,,,,,1401.00,,,1137.00,,,1163.00,446.00,,0.00,1713.00
Vitória,,,524.00,,,,,,,,,,,,,,,,,,,521.00,1202.00,,,,0.00